PBEH	BC	plasmid	olddesc	Correct	newname	fq	fa	bed	folder
1	1	T7	A	TRUE	PCB11_bcBC1_plasmidT7_descA_T7Mix_Untx	PCB11_bcBC1_plasmidT7_descA.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	2	T7	C	TRUE	PCB12_bcBC2_plasmidT7_descC_T7Mix_Tx	PCB12_bcBC2_plasmidT7_descC.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	3	T7	E	TRUE	PCB13_bcBC3_plasmidT7_descE_T7Mix_Tx_RH1	PCB13_bcBC3_plasmidT7_descE.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	4	T7	B	TRUE	PCB14_bcBC4_plasmidT7_descB_T7Mix_Untx	PCB14_bcBC4_plasmidT7_descB.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	5	T7	D	TRUE	PCB15_bcBC5_plasmidT7_descD_T7Mix_Tx	PCB15_bcBC5_plasmidT7_descD.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	6	T7	F	TRUE	PCB16_bcBC6_plasmidT7_descF_T7Mix_Tx_RH1	PCB16_bcBC6_plasmidT7_descF.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	7	T7	G	TRUE	PCB17_bcBC7_plasmidT7_descG_T7Mix_Untx_LinearScaI	PCB17_bcBC7_plasmidT7_descG.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	8	T7	I	TRUE	PCB18_bcBC8_plasmidT7_descI_T7Mix_Tx_LinearScaI	PCB18_bcBC8_plasmidT7_descI.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	9	T7	K	TRUE	PCB19_bcBC9_plasmidT7_descK_T7Mix_Tx_LinearScaI_RH1	PCB19_bcBC9_plasmidT7_descK.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	10	T7	H	TRUE	PCB110_bcBC10_plasmidT7_descH_T7Mix_Untx_LinearScaI	PCB110_bcBC10_plasmidT7_descH.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	11	T7	J	TRUE	PCB111_bcBC11_plasmidT7_descJ_T7Mix_Tx_LinearScaI	PCB111_bcBC11_plasmidT7_descJ.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
1	12	T7	L	TRUE	PCB112_bcBC12_plasmidT7_descL_T7Mix_Tx_LinearScaI_RH1	PCB112_bcBC12_plasmidT7_descL.fq.gz	T7.fa	T7_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
2	13	pFC9	1	TRUE	PCB213_bcBC13_plasmidpFC9_desc1_pFC9_Untx_LinearBsaI	PCB213_bcBC13_plasmidpFC9_desc1.fq.gz	pFC9.fa	pFC9_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
2	14	pFC9	2	TRUE	PCB214_bcBC14_plasmidpFC9_desc2_pFC9_Tx_LinearBsaI	PCB214_bcBC14_plasmidpFC9_desc2.fq.gz	pFC9.fa	pFC9_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
2	15	pFC9	3	TRUE	PCB215_bcBC15_plasmidpFC9_desc3_pFC9_Tx_LinearBsaI_RH1	PCB215_bcBC15_plasmidpFC9_desc3.fq.gz	pFC9.fa	pFC9_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
2	16	pFC9	4	TRUE	PCB216_bcBC16_plasmidpFC9_desc4_pFC9_Untx_LinearBsaI_Cas9	PCB216_bcBC16_plasmidpFC9_desc4.fq.gz	pFC9.fa	pFC9_region.bed	/group/flchedingrp/mitochi/Work/Project/Ethan/230424_fasta
